Protein	Protein_name	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03
Q8N5M9	JAGN1_HUMAN	5981337.888	5919577.541	5365080.039	5842632.431	6402108.878	7227130.471
Q9Y2U8	MAN1_HUMAN	4188996.323	4044640.82	3358974.418	4033156.517	4337818.623	4219863.925
O95070	YIF1A_HUMAN	1606129.821	889349.254	1021468.383	1358124.207	1117904.613	1595755.201
P10321	1C07_HUMAN	14230400.92	10907956.65	18506154.2	14719150.84	14891899.97	17006076.05
O95747	OXSR1_HUMAN	20151396.64	18825175.41	20734621.94	22383956.02	19996371.8	20531130.63
P52701	MSH6_HUMAN	15916440.07	14214966.43	15402888.92	15120820.49	15046332.38	14990412.16
Q96I99	SUCB2_HUMAN	39736689.25	35528293.31	37196538.43	40118650.68	40086815.71	39737741.52
P43686	PRS6B_HUMAN	29705256	28204508.35	28236663.28	31348131.65	30071513.83	32247221.57
P53849	GIS2_YEAST	6135615.107	5619973.737	4916800.782	2454318.516	2807481.697	3067417.131
Q8WVC0	LEO1_HUMAN	4860373.029	5047590.912	4820435.163	5321815.26	5078281.8	5183314.105
O61199	ODO1_CAEEL	15174080.32	14821153.52	13490471.72	18469949.12	17728198.41	17889791.05
P20436	RPAB3_YEAST	10415195.18	7167887.407	8489879.549	5639417.898	4442796.581	4781938.599
Q13277	STX3_HUMAN	2700818.21	3046001.95	2802728.72	2475437.916	3234017.934	3548284.882
Q9H0C8	ILKAP_HUMAN	7047748.394	7104191.505	7335590.238	6762147.307	7947490.943	7645760.022
Q94272	Q94272_CAEEL	14860601.25	16263475.31	16232989.54	21366895.79	18765747.83	18725137.07
O75157	T22D2_HUMAN	3954168.463	3772660.051	3551874.666	3578907.647	3506507.625	3154706.993
P53365	ARFP2_HUMAN	3764601.14	4530266.619	4662805.431	3374647.564	4243612.844	3808949.192
Q9BWD1	THIC_HUMAN	10023343.59	10893877.64	10091273.91	11276130.16	10193326.2	11589027.89
Q8N3C0	ASCC3_HUMAN	6412851.047	6607523.084	6207843.73	6065992.478	6693459.221	6883764.66
P34369	PRP8_CAEEL	4547589.762	4414203.772	4575551.281	6194496.647	6637227.406	6636068.307
P51857	AK1D1_HUMAN	162580285	160848410.1	158449317	165493797.1	161205955.8	156286677
P61106	RAB14_HUMAN	24828504.33	26468506.39	25916486.22	23756660.93	27208734.92	26624270.48
P25342	CDC10_YEAST	5316297.433	4378750.465	5096509	2721682.727	2682183.537	3404625.514
Q68DK2	ZFY26_HUMAN	802560.8307	533840.1454	2520269.618	1083179.224	1791046.444	1621183.524
P53090	ARO8_YEAST	23800688.11	24067990.6	21772265.76	13910424.27	13341397.93	12992269.41
Q95XS1	Q95XS1_CAEEL	6305256.681	6110805.51	7463476.342	8832777.57	8715845.601	8256702.435
O95758	PTBP3_HUMAN	96980296.91	104966118.3	100599513	98291983.93	96729589.51	95930165.31
Q9H7Z7	PGES2_HUMAN	8422825.622	10709711.95	8033933.805	9643210.403	9626405.642	9461503.225
Q19102	Q19102_CAEEL	14204358.85	14075256.79	14710689.9	17696879.85	17381087.75	20343484.31
P53801	PTTG_HUMAN	5484967.003	4390642.303	5875884.855	4709908.097	5089007.794	5853465.017
O17731	O17731_CAEEL	4710552.71	3461993.991	NA	6092109.309	5400326.189	4412462.706
P60660	MYL6_HUMAN	63818779.2	64449678.91	59883378.03	65313613.09	66784577.5	68132583.47
Q15029	U5S1_HUMAN	37248351.09	38713826.54	35396328.93	39450496.9	40049969.47	40404789.03
P53007	TXTP_HUMAN	6176736.706	6474223.281	6931094.07	7246108.6	7531433.777	7048141.98
Q9BZ95	NSD3_HUMAN	2086731.856	2344806.348	1911935.021	1559569.18	1911180.914	2005401.798
P15705	STI1_YEAST	28432940	29888827.91	28497691.76	15335499.29	15012936.93	13807440.39
Q8IXQ4	GPAM1_HUMAN	1876269.348	1786727.4	2187277.658	2432805.581	2190684.396	2131857.014
Q9Y606	TRUA_HUMAN	7685290.626	7329199.689	7575743.208	8058343.202	7915822.931	8194044.086
Q96EN8	MOCOS_HUMAN	18627004.98	18008201.82	18143218.02	18746450.82	18385194.13	19107997.12
Q5BKY9	F133B_HUMAN	2489337.618	2480815.518	2317037.966	2743775.517	2585632.372	2240889.908
Q9UAQ6	Q9UAQ6_CAEEL	15292545.53	15580337.72	15719721.93	18591073.8	19164295.88	22568086.57
P36059	NNRD_YEAST	11279759.68	9302503.51	8092113.709	6326622.893	5737276.387	5869608.234
P54885	PROA_YEAST	13739959.64	12299478.01	11617678.81	8877421.215	7628727.476	8130160.015
A0MZ66	SHOT1_HUMAN	12203255.79	12267618.83	10615901.04	11703396.7	11365848.02	11557409.68
Q9UKG1	DP13A_HUMAN	4291153.187	5750724.984	4583209.17	4878021.119	5037307.61	4753926.597
O75348	VATG1_HUMAN	10460190.66	9719108.634	7963771.01	9800201.708	10016777.44	8475621.259
Q23050	Q23050_CAEEL	53751888.36	52482416.41	53075706.72	60130804.31	67512058.37	68963901.34
Q20448	Q20448_CAEEL	4112096.01	4524778.621	4234205.054	5681430.481	5072812.263	5947071.723
Q96D71	REPS1_HUMAN	1327790.541	1194800.915	1290635.736	1808291.128	1073122.551	1203227.648
P50613	CDK7_HUMAN	3854821.679	3832829.039	3969413.037	3984594.689	4467545.055	4303961.676
